RECORD_KEY,MASTER_660_ID,ORIGINE,NOVITA,COMUNE,TITOLO,TIPOLOGIA,INDIRIZZO,TARGET_RICERCA,STATO_RICERCA,LAT,LON,GEOCODE_DISPLAY,CATASTO_LOCAL_ID,CODICE_BELFIORE,FOGLIO_RAW,PARTICELLA,FONTE_CATASTO,URL_SEGNALE,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO_CATASTO
LIVE-2f4e7171a4205d18,,RADAR_LIVE,NO,Caprie,Trilocale in Vendita in Viale Kennedy 27 a Caprie - Casa.it,NON_CLASSIFICATO,Viale Kennedy 27,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.casa.it/immobili/54638195/,2026-09-02T07:11:25.325505+00:00,2026-09-03T19:01:31.709406+00:00
LIVE-654d7db54ec6a685,,RADAR_LIVE,NO,Chianocco,Quanto vale una casa a Chianocco (TO) — prezzi al m² 2° semestre 2025,NON_CLASSIFICATO,,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://tuttocalcolo.it/valore-immobili/to/chianocco,2026-09-02T07:11:25.325624+00:00,2026-09-03T19:01:31.709416+00:00
LIVE-928071d74bac723c,,RADAR_LIVE,NO,Collegno,Vendita Appartamento Collegno. Trilocale in via Podgora 12. Ottimo ...,NON_CLASSIFICATO,via Podgora 12,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/128709902/,2026-09-02T07:11:25.325776+00:00,2026-09-03T19:01:31.709421+00:00
LIVE-c0562dd1112d001a,,RADAR_LIVE,NO,Grugliasco,Vendita Appartamento Grugliasco. Bilocale in via Stampalia. Da ...,NON_CLASSIFICATO,via Stampalia. Da,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/132086794/,2026-09-02T07:11:25.326202+00:00,2026-09-03T19:01:31.710509+00:00
LIVE-bdf6a44eaf07dd5a,,RADAR_LIVE,NO,Grugliasco,Vendita Appartamento Grugliasco. Quadrilocale in via Severino Doppi ...,NON_CLASSIFICATO,via Severino Doppi,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/132081010/,2026-09-02T07:11:25.326234+00:00,2026-09-03T19:01:31.710515+00:00
LIVE-72c1e7b0c2359916,,RADAR_LIVE,NO,Mompantero,"Rustico - casale all'asta frazione Seghino, 2, Mompantero",NON_CLASSIFICATO,"frazione Seghino, 2",NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/130939356/,2026-09-02T07:11:25.326309+00:00,2026-09-03T19:01:31.710520+00:00
LIVE-62945b1a2cd05f38,,RADAR_LIVE,NO,Moncenisio,Vendita Appartamento Monza. Quadrilocale in via Moncenisio 10. Ottimo ...,NON_CLASSIFICATO,via Moncenisio 10,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/114155643/,2026-09-02T07:11:25.326370+00:00,2026-09-03T19:01:31.710525+00:00
LIVE-5931a307364d4f14,,RADAR_LIVE,NO,Pianezza,Vendita Appartamento Pianezza. Trilocale in via Giorgio La Pira. Ottimo ...,NON_CLASSIFICATO,via Giorgio La Pira. Ottimo,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/132081406/,2026-09-02T07:11:25.326547+00:00,2026-09-03T19:01:31.709426+00:00
LIVE-56f71ebcb27879c1,,RADAR_LIVE,NO,Reano,Vendita Appartamento Reano. Bilocale in via Maria Vittoria 11. Ottimo ...,NON_CLASSIFICATO,via Maria Vittoria 11,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/119068555/,2026-09-02T07:11:25.326593+00:00,2026-09-03T19:01:31.710531+00:00
LIVE-3e9668ce52defae2,,RADAR_LIVE,NO,Rubiana,Vendita Appartamento Rubiana. Bilocale in Borgata Meinà 15. Buono stato ...,NON_CLASSIFICATO,Borgata Meinà 15,NO,NON_TARGET,,,,,,,,Agenzia delle Entrate · WMS CP.CadastralParcel,https://www.immobiliare.it/annunci/132068702/,2026-09-02T07:11:25.326928+00:00,2026-09-03T19:01:31.710536+00:00
