FUNZIONARIO,NUM_FUNZIONARIO,STATO_ASSEGNAZIONE,TERRITORIO_OPERATIVO,STATO_GIRO,STATO_MERCATO,PRIORITA,SCORE,TIPO_OPPORTUNITA,TARGET,FASE_PROGETTO,OBIETTIVO_COMMERCIALE,COMUNE,DOVE_ANDRE,COSA_CERCO,PREZZO,FONTE,SELLER_SIGNAL,AZIONE,PDF_DA_VERIFICARE,URL,F1_INDIRIZZO_REMOTO_URL
FUNZIONARIO 1,1,ASSEGNATO,SI,FERMATA_PRONTA,NEW,ALTA,75,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Fiano,"via Venezia, 31","Appartamento in in vendita da privato a Fiano Romano via Venezia, 31",139000,TrovaCasa privati,INDIZIO_PRIVATO,VAI IN ZONA,,https://www.trovacasa.it/annunci/rm-tc-3427-67949968,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-2943BA17E1AC1B93&comune=Fiano&provincia=TO&via=via+Venezia&civico=31&url=https%3A%2F%2Fwww.trovacasa.it%2Fannunci%2Frm-tc-3427-67949968&titolo=Appartamento+in+in+vendita+da+privato+a+Fiano+Romano+via+Venezia%2C+31&segnale=nuova+rilevazione+%7C+fonte%2Fquery+orientata+ai+privati+%7C+indizio+privato%2Fno+agenzie+%7C+prezzo+rilevato&fonte=TrovaCasa+privati&telefono=&telefono_fonte=
FUNZIONARIO 1,1,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Fiano,"via torino, 56","Casa Indipendente in vendita a Fiano via torino, 56 - TrovaCasa",PREZZO DA VERIFICARE,TrovaCasa privati,NON_DETERMINATO,VAI IN ZONA,,https://www.trovacasa.it/annunci/to-tc-44484-68930212,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-4FE8B4E7FFC40FF1&comune=Fiano&provincia=TO&via=via+torino&civico=56&url=https%3A%2F%2Fwww.trovacasa.it%2Fannunci%2Fto-tc-44484-68930212&titolo=Casa+Indipendente+in+vendita+a+Fiano+via+torino%2C+56+-+TrovaCasa&segnale=fonte%2Fquery+orientata+ai+privati&fonte=TrovaCasa+privati&telefono=&telefono_fonte=
FUNZIONARIO 1,1,ASSEGNATO,SI,FERMATA_PRONTA,POSSIBILE_USCITA,BASSA,27,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Fiano,"via Antonio Gramsci, 34","Appartamento in vendita a Fiano Romano via Antonio Gramsci, 34 - TrovaCasa",PREZZO DA VERIFICARE,TrovaCasa privati,NON_DETERMINATO,VAI IN ZONA,,https://www.trovacasa.it/annunci/rm-tc-33308-71944210,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-4A960D4F9152C4F3&comune=Fiano&provincia=TO&via=via+Antonio+Gramsci&civico=34&url=https%3A%2F%2Fwww.trovacasa.it%2Fannunci%2Frm-tc-33308-71944210&titolo=Appartamento+in+vendita+a+Fiano+Romano+via+Antonio+Gramsci%2C+34+-+TrovaCasa&segnale=fonte%2Fquery+orientata+ai+privati&fonte=TrovaCasa+privati&telefono=&telefono_fonte=
FUNZIONARIO 1,1,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,15,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Fiano,via carlo alberto dalla,Vendita Appartamento Fiano Romano. Trilocale in via carlo alberto dalla,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/128728000/,
FUNZIONARIO 1,1,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,15,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Fiano,via Treves 6,Vendita Appartamento Fiano Romano. Trilocale in via Treves 6. Buono,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/128275940/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-D8CB95BC7D9FA709&comune=Fiano&provincia=TO&via=via+Treves&civico=6&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F128275940%2F&titolo=Vendita+Appartamento+Fiano+Romano.+Trilocale+in+via+Treves+6.+Buono+...&segnale=monitoraggio+base&fonte=Immobiliare.it&telefono=&telefono_fonte=
FUNZIONARIO 1,1,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,15,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Fiano,via del Laghetto 30,Vendita Villa bifamiliare in via del Laghetto 30 Fiano Romano. Buono,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/132160826/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-32769E0232D68895&comune=Fiano&provincia=TO&via=via+del+Laghetto&civico=30&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F132160826%2F&titolo=Vendita+Villa+bifamiliare+in+via+del+Laghetto+30+Fiano+Romano.+Buono+...&segnale=monitoraggio+base&fonte=Immobiliare.it&telefono=&telefono_fonte=
FUNZIONARIO 1,1,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,15,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Fiano,via Susa 22,"Vendita Villa unifamiliare in via Susa 22 Fiano. Buono stato, posto",PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/127988602/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-B7E2A2A3C2FF574C&comune=Fiano&provincia=TO&via=via+Susa&civico=22&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F127988602%2F&titolo=Vendita+Villa+unifamiliare+in+via+Susa+22+Fiano.+Buono+stato%2C+posto+...&segnale=monitoraggio+base&fonte=Immobiliare.it&telefono=&telefono_fonte=
FUNZIONARIO 1,1,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,15,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Fiano,via ottavio borla 17,"Vendita Appartamento in via ottavio borla 17. Fiano. Ottimo stato, su",PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/128548234/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-37E4B37BF32E0B38&comune=Fiano&provincia=TO&via=via+ottavio+borla&civico=17&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F128548234%2F&titolo=Vendita+Appartamento+in+via+ottavio+borla+17.+Fiano.+Ottimo+stato%2C+su+...&segnale=monitoraggio+base&fonte=Immobiliare.it&telefono=&telefono_fonte=
FUNZIONARIO 1,1,ASSEGNATO,SI,FERMATA_PRONTA,POSSIBILE_USCITA,BASSA,15,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Fiano,via Milano 31,Vendita Appartamento Fiano Romano. Trilocale in via Milano 31. Buono,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/132445282/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-13A678CE3307AA30&comune=Fiano&provincia=TO&via=via+Milano&civico=31&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F132445282%2F&titolo=Vendita+Appartamento+Fiano+Romano.+Trilocale+in+via+Milano+31.+Buono+...&segnale=monitoraggio+base&fonte=Immobiliare.it&telefono=&telefono_fonte=
FUNZIONARIO 1,1,ASSEGNATO,SI,FERMATA_PRONTA,TRACKED,BASSA,15,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Fiano,via Roma 8,"Vendita Appartamento Fiano. Trilocale in via Roma 8. Buono stato, posto",PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/129791068/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-A742C20A7621E1D8&comune=Fiano&provincia=TO&via=via+Roma&civico=8&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F129791068%2F&titolo=Vendita+Appartamento+Fiano.+Trilocale+in+via+Roma+8.+Buono+stato%2C+posto+...&segnale=monitoraggio+base&fonte=Immobiliare.it&telefono=&telefono_fonte=
