tipologia_reale_inferita,righe,percentuale,immobili_unici_stimati,fermate_pronte,da_verificare,assegnate
APPARTAMENTO,93,46.7,83,86,7,59
VILLA,36,18.1,34,28,8,21
ALTRO_NON_DETERMINATO,22,11.1,22,7,15,3
CASA_INDIPENDENTE_TERRATETTO,14,7.0,13,13,1,5
CAPANNONE_MAGAZZINO,11,5.5,10,5,6,4
RUSTICO_CASALE_BAITA,9,4.5,8,8,1,5
NEGOZIO_COMMERCIALE,6,3.0,5,3,3,2
GARAGE_BOX,5,2.5,5,0,5,0
UFFICIO,3,1.5,3,2,1,1
