PRIORITA,SCORE,TIPO_OPPORTUNITA,TARGET,FASE_PROGETTO,OBIETTIVO_COMMERCIALE,COMUNE,FONTE,TITOLO,PREZZO,PREZZO_PRECEDENTE,RIBASSI,INDIZIO_INSERZIONISTA,STATO,PRIMA_RILEVAZIONE,ULTIMO_CONTROLLO,MOTIVI,PDF_DA_VERIFICARE,URL,CONTATTO_PRONTO,CONTATTI_PUBBLICI,FONTE_CONTATTO,CROSS_MATCH,NOME_INSERZIONISTA,RICERCA_PUBBLICA,VIA_RADAR,INDIRIZZI_ZONA,AZIONE_ZONA,DOVE_ANDRE,COSA_CERCO,PREZZO_OPERATIVO,ISTRUZIONE_OPERATIVA,F1_INDIRIZZO_REMOTO_URL,MASTER_660_ID,TIPOLOGIA_REALE_INFERITA,ASTA_RILEVATA,STATO_INDIRIZZO_MASTER,MASTER_PRESERVATO
ALTA,70,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Chiomonte,TrovaCasa privati,Appartamento in in vendita da privato a Chiomonte via III Reggimento ...,,,0,INDIZIO_PRIVATO,NEW,2026-08-28T10:58:40.670411+00:00,2026-08-28T10:58:40.670413+00:00,nuova rilevazione | fonte/query orientata ai privati | indizio privato/no agenzie,,https://www.trovacasa.it/annunci/to-tc-3427-72524015,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Appartamento in in vendita da privato a Chiomonte via III Reggimento,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,1,APPARTAMENTO,NO,DA_VERIFICARE,SI
MEDIA,58,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,San Giorio di Susa,Immobiliare.it,Vendita Villa unifamiliare in frazione Città San Giorio di Susa. Buono ...,,,0,INDIZIO_PRIVATO,NEW,2026-08-28T10:58:40.671829+00:00,2026-08-28T10:58:40.671830+00:00,nuova rilevazione | indizio privato/no agenzie,,https://www.immobiliare.it/annunci/64042064/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Vendita Villa unifamiliare in frazione Città San Giorio di Susa. Buono,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,2,VILLA,NO,DA_VERIFICARE,SI
MEDIA,55,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Chiusa di San Michele,TrovaCasa privati,Villa in in vendita da privato a Chiusa di San Michele borgata ...,,,0,INDIZIO_PRIVATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475462+00:00,2026-08-23T17:16:38.786852+00:00,fonte/query orientata ai privati | indizio privato/no agenzie,,https://www.trovacasa.it/annunci/to-tc-3427-72776904,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Villa in in vendita da privato a Chiusa di San Michele borgata,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,3,VILLA,NO,DA_VERIFICARE,SI
MEDIA,55,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Collegno,Privati generico,Case in Vendita da Privati Collegno - ClickCase.it,,,0,INDIZIO_PRIVATO,POSSIBILE_USCITA,2026-08-21T12:20:59.475506+00:00,2026-08-23T17:16:38.786876+00:00,fonte/query orientata ai privati | indizio privato/no agenzie,,https://www.clickcase.it/annunci/vendita-case-privati-collegno.html,NO,,,0,,ESEGUITA,viale XXIV Maggio,viale XXIV Maggio 54,VAI IN ZONA,viale XXIV Maggio 54,Case in Vendita da Privati Collegno - ClickCase.it,PREZZO DA VERIFICARE,VAI IN ZONA,,4,ALTRO_NON_DETERMINATO,NO,CON_CIVICO,SI
MEDIA,48,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Oulx,Trovit,236 immobili in vendita a Oulx - Trovit,29000,37000,2,NON_DETERMINATO,TRACKED,2026-08-21T12:20:59.475648+00:00,2026-08-27T21:04:17.080373+00:00,prezzo rilevato | ribasso rilevato | ribassi multipli,,https://case.trovit.it/oulx,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,236 immobili in vendita a Oulx - Trovit,29000,APRI FONTE E VERIFICA INDIRIZZO,,5,PAGINA_RICERCA_CATEGORIA,NO,DA_VERIFICARE,SI
BASSA,43,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Rivoli,Mercato generale,Case in Vendita da Privati Rivoli - ClickCase.it,,,0,INDIZIO_PRIVATO,POSSIBILE_USCITA,2026-08-23T09:11:13.222671+00:00,2026-08-23T17:16:38.787022+00:00,indizio privato/no agenzie,,https://www.clickcase.it/annunci/vendita-case-privati-rivoli.html,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Case in Vendita da Privati Rivoli - ClickCase.it,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,6,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,43,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Condove,Immobiliare.it,Vendita Rustico in Borgata Pralesio Superiore Condove. Da ristrutturare ...,,,0,INDIZIO_PRIVATO,TRACKED,2026-08-27T21:04:17.079997+00:00,2026-08-28T10:58:40.670738+00:00,indizio privato/no agenzie,,https://www.immobiliare.it/annunci/129732716/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Vendita Rustico in Borgata Pralesio Superiore Condove. Da ristrutturare,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,7,RUSTICO_CASALE_BAITA,NO,DA_VERIFICARE,SI
BASSA,43,UFFICIO_DIREZIONALE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE UFFICIO,Rubiana,Uffici e direzionale,Rubiana - 374 case in vendita in Rubiana de Nuroa.it,28000,,0,NON_DETERMINATO,NEW,2026-08-28T05:06:35.531236+00:00,2026-08-28T05:06:35.531237+00:00,nuova rilevazione | prezzo rilevato | ufficio direzionale,,https://www.nuroa.it/vendita-immobili/rubiana,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Rubiana - 374 case in vendita in Rubiana de Nuroa.it,28000,APRI FONTE → VERIFICA UBICAZIONE → CONTATTA,,8,PAGINA_RICERCA_CATEGORIA,NO,DA_VERIFICARE,SI
BASSA,42,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Alpignano,Subito privati,Appartamenti in vendita Alpignano - Subito.it,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.079119+00:00,2026-08-27T21:04:17.079121+00:00,nuova rilevazione | fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/appartamenti/torino/alpignano/,NO,,,0,,ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Appartamenti in vendita Alpignano - Subito.it,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,9,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
BASSA,42,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Oulx,Subito privati,Case in vendita Oulx - Immobili - Subito.it,,,0,NON_DETERMINATO,NEW,2026-08-27T21:04:17.080382+00:00,2026-08-27T21:04:17.080383+00:00,nuova rilevazione | fonte/query orientata ai privati,,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/oulx/,NO,,,0,,NON_ESEGUITA,,,,INDIRIZZO DA VERIFICARE,Case in vendita Oulx - Immobili - Subito.it,PREZZO DA VERIFICARE,APRI FONTE E VERIFICA INDIRIZZO,,10,ALTRO_NON_DETERMINATO,NO,DA_VERIFICARE,SI
