FUNZIONARIO,NUM_FUNZIONARIO,STATO_ASSEGNAZIONE,TERRITORIO_OPERATIVO,STATO_GIRO,STATO_MERCATO,PRIORITA,SCORE,TIPO_OPPORTUNITA,TARGET,FASE_PROGETTO,OBIETTIVO_COMMERCIALE,COMUNE,DOVE_ANDRE,COSA_CERCO,PREZZO,FONTE,SELLER_SIGNAL,AZIONE,PDF_DA_VERIFICARE,URL,F1_INDIRIZZO_REMOTO_URL
,,BACKLOG,NO,BACKLOG,POSSIBILE_USCITA,BASSA,35,COMMERCIALE_IMMOBILE,IMMOBILE,,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Collegno,INDIRIZZO DA VERIFICARE,Immobile di 148 m² con 5 locali a Collegno | Subito,PREZZO DA VERIFICARE,Subito privati,NON_DETERMINATO,APRI FONTE → VERIFICA UBICAZIONE → CONTATTA,,https://www.subito.it/uffici-locali-commerciali/immobile-di-148-m%C2%B2-con-5-locali-a-collegno-torino-658721243.htm,
,,BACKLOG,NO,BACKLOG,NEW,BASSA,35,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Collegno,"Via Fabio Filzi, 2","Trilocale in vendita in Via Fabio Filzi, 2, Regina Margherita, Collegno",185000,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/36684754/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-290F0A1514A02F07&comune=Collegno&provincia=TO&via=Via+Fabio+Filzi&civico=2&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F36684754%2F&titolo=Trilocale+in+vendita+in+Via+Fabio+Filzi%2C+2%2C+Regina+Margherita%2C+Collegno+...&segnale=nuova+rilevazione+%7C+prezzo+rilevato&fonte=Idealista&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,NEW,BASSA,35,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Collegno,"Via Monte Nero, 6","Bilocale in vendita in Via Monte Nero, 6, Regina Margherita, Collegno",135000,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/36680219/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-3534821F0B96260B&comune=Collegno&provincia=TO&via=Via+Monte+Nero&civico=6&url=https%3A%2F%2Fwww.idealista.it%2Fimmobile%2F36680219%2F&titolo=Bilocale+in+vendita+in+Via+Monte+Nero%2C+6%2C+Regina+Margherita%2C+Collegno+...&segnale=nuova+rilevazione+%7C+prezzo+rilevato&fonte=Idealista&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,NEW,BASSA,35,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,San Valeriano,via San Valeriano 20,"Appartamento all'asta via San Valeriano 20, Robbio",17297,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/105830053/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-50EF1F3C09DC9236&comune=San+Valeriano&provincia=TO&via=via+San+Valeriano&civico=20&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F105830053%2F&titolo=Appartamento+all%27asta+via+San+Valeriano+20%2C+Robbio&segnale=nuova+rilevazione+%7C+prezzo+rilevato&fonte=Immobiliare.it&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,TRACKED,BASSA,33,COMMERCIALE_IMMOBILE,IMMOBILE,PROGRAMMATO,ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,Rosta,corso Moncenisio,"Locale commerciale corso Moncenisio, Rosta, Rif. 121630696 - Immobiliare.it",PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA / CONTATTA PER ACQUISIZIONE / LOCAZIONE IMMOBILE COMMERCIALE,,https://www.immobiliare.it/annunci/121630696/,
,,BACKLOG,NO,BACKLOG,TRACKED,BASSA,30,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Villarbasse,via San Rocco 9/B,Vendita Terratetto unifamiliare in via San Rocco 9/B Villarbasse. Da,49000,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA / CONTATTA PER ACQUISIZIONE CAPANNONE / MAGAZZINO,,https://www.immobiliare.it/annunci/124965305/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-F818EDF2E4A569AB&comune=Villarbasse&provincia=TO&via=via+San+Rocco&civico=9%2FB&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F124965305%2F&titolo=Vendita+Terratetto+unifamiliare+in+via+San+Rocco+9%2FB+Villarbasse.+Da+...&segnale=prezzo+rilevato+%7C+industriale+logistica&fonte=Immobiliare.it&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,TRACKED,BASSA,30,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Almese,via Rubiana 33f,Almese - 239 appartamenti in affito in Almese de Nuroa.it,99000,Capannoni logistica,NON_DETERMINATO,VAI IN ZONA / CONTATTA PER ACQUISIZIONE CAPANNONE / MAGAZZINO,,https://www.nuroa.it/affitto-case/almese,
,,BACKLOG,NO,BACKLOG,TRACKED,BASSA,30,INDUSTRIALE_LOGISTICA,IMMOBILE,,ACQUISIZIONE CAPANNONE / MAGAZZINO,Caprie,via Roma 12,"Capannone via Roma 12, Caprie, Rif. 132000372 - Immobiliare.it",10000,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA / CONTATTA PER ACQUISIZIONE CAPANNONE / MAGAZZINO,,https://www.immobiliare.it/annunci/132000372/,http://127.0.0.1:8765/radar/importa?canonical_id=RADAR-BB3ABF7BC9C5E1F2&comune=Caprie&provincia=TO&via=via+Roma&civico=12&url=https%3A%2F%2Fwww.immobiliare.it%2Fannunci%2F132000372%2F&titolo=Capannone+via+Roma+12%2C+Caprie%2C+Rif.+132000372+-+Immobiliare.it&segnale=prezzo+rilevato+%7C+industriale+logistica&fonte=Immobiliare.it&telefono=&telefono_fonte=
,,BACKLOG,NO,BACKLOG,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Chiusa di San Michele,via E. L,Vendita Appartamento Chiusa di San Michele. Trilocale in via E. L,PREZZO DA VERIFICARE,Immobiliare.it,NON_DETERMINATO,VAI IN ZONA,,https://www.immobiliare.it/annunci/108101505/,
,,BACKLOG,NO,BACKLOG,NEW,BASSA,30,RESIDENZIALE,IMMOBILE,,ACQUISIZIONE IMMOBILE,Collegno,Via Sacra S. Michele,Quadrilocale in vendita in Via Sacra S. Michele - idealista,PREZZO DA VERIFICARE,Idealista,NON_DETERMINATO,VAI IN ZONA,,https://www.idealista.it/immobile/36680870/,
