ITEM_ID,COMUNE,TIPO_ANNUNCIO,VIA_RADAR,AZIONE,TARGET,TELEFONO,STATO,FONTE
9a8e6bc5c6aaedd0ee05,Almese,NON_DETERMINATO,Via Rubiana,VAI_IN_ZONA,Via Rubiana 142,,PRONTO,https://www.idealista.it/immobile/36069783/
9a8e6bc5c6aaedd0ee05,Almese,NON_DETERMINATO,Via Rubiana,VAI_IN_ZONA,Via Rubiana 51,,PRONTO,https://www.idealista.it/immobile/36069783/
9a8e6bc5c6aaedd0ee05,Almese,NON_DETERMINATO,Via Rubiana,VAI_IN_ZONA,via Rubiana 100,,PRONTO,https://www.idealista.it/immobile/36069783/
bf60f35b150fb65b89e1,Rosta,NON_DETERMINATO,Via Piave,VAI_IN_ZONA,Via Piave 53,,PRONTO,https://www.idealista.it/immobile/35863658/
bf60f35b150fb65b89e1,Rosta,NON_DETERMINATO,Via Piave,VAI_IN_ZONA,via piave 33,,PRONTO,https://www.idealista.it/immobile/35863658/
07dbbaf94a4528802364,Sant'Antonino di Susa,NON_DETERMINATO,via Medagli,VAI_IN_ZONA,via Medagli 55,,PRONTO,https://www.immobiliare.it/annunci/131644636/
14e172d2c96512dfa79e,Vaie,NON_DETERMINATO,Via Peirolero,VAI_IN_ZONA,Via Peirolero 28,,PRONTO,https://www.casa.it/immobili/50035067/
7907ca91e2689613c6a8,Vaie,NON_DETERMINATO,Vicolo Superiore,VAI_IN_ZONA,Vicolo Superiore 19,,PRONTO,https://www.idealista.it/immobile/34422440/
d48aa39affeee332a566,Villar Dora,NON_DETERMINATO,Via Celle,VAI_IN_ZONA,Via Celle 64,,PRONTO,https://www.idealista.it/immobile/34771243/
10687f9dcb0e59a3c489,Rosta,NON_DETERMINATO,Via Piave,VAI_IN_ZONA,Via Piave 53,,PRONTO,https://www.casa.it/immobili/54099496/
81ad12948dc002c416d4,Buttigliera Alta,NON_DETERMINATO,Via Conti Carron,VAI_IN_ZONA,Via Conti Carron 4,,PRONTO,https://www.idealista.it/immobile/33719415/
81ad12948dc002c416d4,Buttigliera Alta,NON_DETERMINATO,Via Conti Carron,VAI_IN_ZONA,Via Conti Carron 57,,PRONTO,https://www.idealista.it/immobile/33719415/
3cb21c58d0c3d50430d6,Avigliana,NON_DETERMINATO,VIA MONTE CUNEO,VAI_IN_ZONA,VIA MONTE CUNEO 6,,PRONTO,https://www.luxuryestate.com/it/p131147981-villa-for-sale-avigliana
5fe366ce6142845c6cfa,Almese,NON_DETERMINATO,via Rubiana,VAI_IN_ZONA,via Rubiana 100,,PRONTO,https://www.immobiliare.it/annunci/119867056/
5fe366ce6142845c6cfa,Almese,NON_DETERMINATO,via Rubiana,VAI_IN_ZONA,Via Rubiana 142,,PRONTO,https://www.immobiliare.it/annunci/119867056/
f03f60de65c9aab43eb5,Almese,NON_DETERMINATO,via Montecapretto,VAI_IN_ZONA,via Montecapretto 24,,PRONTO,https://www.immobiliare.it/annunci/108146029/
2356b8a6cc2bf07676f7,Almese,NON_DETERMINATO,via Roma,VAI_IN_ZONA,via Roma 29,,PRONTO,https://www.immobiliare.it/annunci/130993624/
c49246626beeeef88169,Almese,NON_DETERMINATO,frazione Tuberghengo,VAI_IN_ZONA,frazione Tuberghengo 2,,PRONTO,https://www.immobiliare.it/annunci/101503673/
d11a35dc33bf88a2bc87,Almese,NON_DETERMINATO,Via Almese,VAI_IN_ZONA,Via Almese 10,,PRONTO,https://www.idealista.it/immobile/35031076/
d11a35dc33bf88a2bc87,Almese,NON_DETERMINATO,Via Almese,VAI_IN_ZONA,via almese 23,,PRONTO,https://www.idealista.it/immobile/35031076/
f203f95c72721cdc179e,Alpignano,INDIZIO_AGENZIA,Via Della costa,VAI_IN_ZONA,Via Della costa 41,,PRONTO,https://www.gabetti.it/vendita/alpignano
f203f95c72721cdc179e,Alpignano,INDIZIO_AGENZIA,Via Della costa,VAI_IN_ZONA,via della Costa 71,,PRONTO,https://www.gabetti.it/vendita/alpignano
