tipologia,righe,percentuale
APPARTAMENTO,217,32.9
PAGINA_RICERCA_CATEGORIA,146,22.1
ALTRO_NON_DETERMINATO,97,14.7
VILLA,76,11.5
CASA_INDIPENDENTE_TERRATETTO,41,6.2
PAGINA_AGENZIA_SERVIZIO,24,3.6
RUSTICO_CASALE_BAITA,22,3.3
NEGOZIO_COMMERCIALE,13,2.0
CAPANNONE_MAGAZZINO,12,1.8
TERRENO,4,0.6
UFFICIO,4,0.6
PALAZZO_EDIFICIO,2,0.3
GARAGE_BOX,2,0.3
