ZONE_ID,COMUNE,VIA_ANNUNCIO,RIFERIMENTO_ANNUNCIO,ANNUNCIO_URL,RANK,TIPO_VIA,VIA_DA_LAVORARE,DISTANZA_M,RELAZIONE,OSM_STATUS
avigliana-via-monte-cuneo,Avigliana,VIA MONTE CUNEO,VIA MONTE CUNEO 6,https://www.luxuryestate.com/it/p131147981-villa-for-sale-avigliana,4,VICINA,Via Oronte Nota,0,INCROCIA,OK
avigliana-corso-laghi,Avigliana,corso Laghi,corso Laghi 165,https://www.immobiliare.it/annunci/129213392/,0,TARGET,corso Laghi,0,CENTRO,OK
avigliana-corso-laghi,Avigliana,corso Laghi,corso Laghi 165,https://www.immobiliare.it/annunci/129213392/,1,VICINA,Piazza del Popolo,0,INCROCIA,OK
avigliana-corso-laghi,Avigliana,corso Laghi,corso Laghi 165,https://www.immobiliare.it/annunci/129213392/,2,VICINA,Via Alpi Cozie,0,INCROCIA,OK
avigliana-corso-laghi,Avigliana,corso Laghi,corso Laghi 165,https://www.immobiliare.it/annunci/129213392/,3,VICINA,Via Carnino,0,INCROCIA,OK
avigliana-corso-laghi,Avigliana,corso Laghi,corso Laghi 165,https://www.immobiliare.it/annunci/129213392/,4,VICINA,Via Cavalieri di Vittorio Veneto,0,INCROCIA,OK
avigliana-via-sacra-san-michele,Avigliana,via Sacra San Michele,via Sacra San Michele 17,https://www.immobiliare.it/annunci/131895478/,0,TARGET,via Sacra San Michele,0,CENTRO,OK_GEOCODE_FALLBACK
avigliana-via-sacra-san-michele,Avigliana,via Sacra San Michele,via Sacra San Michele 17,https://www.immobiliare.it/annunci/131895478/,1,VICINA,Via Sacra di San Michele,34,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-sacra-san-michele,Avigliana,via Sacra San Michele,via Sacra San Michele 17,https://www.immobiliare.it/annunci/131895478/,2,VICINA,Viale Belvedere,297,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-sacra-san-michele,Avigliana,via Sacra San Michele,via Sacra San Michele 17,https://www.immobiliare.it/annunci/131895478/,3,VICINA,Viale dei Tigli,309,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-sacra-san-michele,Avigliana,via Sacra San Michele,via Sacra San Michele 17,https://www.immobiliare.it/annunci/131895478/,4,VICINA,Via Tetti Colombo,325,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-viale-roma,Avigliana,viale roma,viale roma 8,https://www.immobiliare.it/annunci/131481726/,0,TARGET,viale roma,0,CENTRO,OK
avigliana-viale-roma,Avigliana,viale roma,viale roma 8,https://www.immobiliare.it/annunci/131481726/,1,VICINA,Corso Laghi,0,INCROCIA,OK
avigliana-viale-roma,Avigliana,viale roma,viale roma 8,https://www.immobiliare.it/annunci/131481726/,2,VICINA,Via maestra Maria Gallo,0,INCROCIA,OK
avigliana-viale-roma,Avigliana,viale roma,viale roma 8,https://www.immobiliare.it/annunci/131481726/,3,VICINA,Via Osvaldo Negarville,0,INCROCIA,OK
avigliana-viale-roma,Avigliana,viale roma,viale roma 8,https://www.immobiliare.it/annunci/131481726/,4,VICINA,Via Tresserve,0,INCROCIA,OK
avigliana-via-ailliaud-augusto,Avigliana,via Ailliaud Augusto,via Ailliaud Augusto 8,https://www.immobiliare.it/annunci/129887012/,0,TARGET,via Ailliaud Augusto,0,CENTRO,OK_GEOCODE_FALLBACK
avigliana-via-ailliaud-augusto,Avigliana,via Ailliaud Augusto,via Ailliaud Augusto 8,https://www.immobiliare.it/annunci/129887012/,1,VICINA,Via Augusto Ailliaud,2,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-ailliaud-augusto,Avigliana,via Ailliaud Augusto,via Ailliaud Augusto 8,https://www.immobiliare.it/annunci/129887012/,2,VICINA,Viale Roma (int),70,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-ailliaud-augusto,Avigliana,via Ailliaud Augusto,via Ailliaud Augusto 8,https://www.immobiliare.it/annunci/129887012/,3,VICINA,Via Cavalieri di Vittorio Veneto,76,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-via-ailliaud-augusto,Avigliana,via Ailliaud Augusto,via Ailliaud Augusto 8,https://www.immobiliare.it/annunci/129887012/,4,VICINA,Via Venti Settembre,78,VICINA_GEOCODE,OK_GEOCODE_FALLBACK
avigliana-piazza-del-popolo,Avigliana,piazza del Popolo,piazza del Popolo 4,https://www.immobiliare.it/annunci/127408283/,0,TARGET,piazza del Popolo,0,CENTRO,OK
avigliana-piazza-del-popolo,Avigliana,piazza del Popolo,piazza del Popolo 4,https://www.immobiliare.it/annunci/127408283/,1,VICINA,Corso Laghi,0,INCROCIA,OK
avigliana-piazza-del-popolo,Avigliana,piazza del Popolo,piazza del Popolo 4,https://www.immobiliare.it/annunci/127408283/,2,VICINA,Via Cavalieri di Vittorio Veneto,0,INCROCIA,OK
avigliana-piazza-del-popolo,Avigliana,piazza del Popolo,piazza del Popolo 4,https://www.immobiliare.it/annunci/127408283/,3,VICINA,Via della Repubblica,0,INCROCIA,OK
avigliana-piazza-del-popolo,Avigliana,piazza del Popolo,piazza del Popolo 4,https://www.immobiliare.it/annunci/127408283/,4,VICINA,Via Martiri della Libertà,0,INCROCIA,OK
