ID,COMUNE,TITOLO,FONTE,URL,MOTIVO_SCARTO
7af666f251eb1ae977a9,Coazze,Case in vendita Coazze - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/coazze/,PAGINA_CATEGORIA
9b93ebd08af5840b06a9,Coazze,"30 immobili in vendita a Forno, Coazze - Trovit",Trovit,https://case.trovit.it/forno-coazze,EVIDENZA_INSUFFICIENTE
6d0da11f6f37738e7b11,Collegno,23 Immobili in vendita gramsci a Collegno - Mitula Case,Mercato residenziale,https://immobiliare.mitula.it/gramsci-collegno,EVIDENZA_INSUFFICIENTE
109b2937ad76b2c31e45,Condove,Case e appartamenti a Condove. Immobili in vendita a Condove - Nestoria,Nestoria,https://www.nestoria.it/immobiliare/vendita/condove,EVIDENZA_INSUFFICIENTE
26c747e2aec55e38fc2b,Condove,163 immobili in vendita a Condove - Trovit,Trovit,https://case.trovit.it/condove,EVIDENZA_INSUFFICIENTE
4c07fb8f9747121faed9,Condove,172 Case in vendita a Condove - Mitula Case,Mercato generale,https://immobiliare.mitula.it/casa-condove,EVIDENZA_INSUFFICIENTE
583d14f0d7e8f197362f,Giaglione,Case in vendita Giaglione - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/giaglione/,PAGINA_CATEGORIA
9d870772ada9f3aaf340,Giaglione,Instagram,Tipologie residenziali,https://www.instagram.com/p/DZcPoC0jctl/,EVIDENZA_INSUFFICIENTE
e8644e45333078f370fa,Gravere,Case e appartamenti a Gravere. Immobili in vendita a Gravere - Nestoria,Nestoria,https://www.nestoria.it/immobiliare/vendita/gravere,EVIDENZA_INSUFFICIENTE
a0b8aba80a5c39d09e6e,Gravere,49 immobili in vendita a Gravere - Trovit,Trovit,https://case.trovit.it/gravere,EVIDENZA_INSUFFICIENTE
8deb529003110157d70e,Gravere,Case in vendita Gravere - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/gravere/,PAGINA_CATEGORIA
36eacc8c750655d7e243,Grugliasco,18 Appartamenti in vendita gramsci a Grugliasco - Mitula Case,Mercato generale,https://immobiliare.mitula.it/appartamento-gramsci-grugliasco,EVIDENZA_INSUFFICIENTE
57cbed1f606dba9ecb04,Grugliasco,5 Case in vendita gramsci a Grugliasco - Mitula Case,Mercato residenziale,https://immobiliare.mitula.it/casa-gramsci-grugliasco,EVIDENZA_INSUFFICIENTE
9521e4b8eb97f77f0598,Mattie,Case in vendita Mattie - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/mattie/,PAGINA_CATEGORIA
09d92d9e2db450bdab7e,Meana di Susa,Case in vendita Meana di Susa - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/meana-di-susa/,PAGINA_CATEGORIA
25e4b98bb02380b29043,Mompantero,Case in vendita Mompantero - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/mompantero/,PAGINA_CATEGORIA
c0878aeada2ed6008db8,Oulx,236 immobili in vendita a Oulx - Trovit,Trovit,https://case.trovit.it/oulx,EVIDENZA_INSUFFICIENTE
23c627a164536b503246,Pianezza,Pianezza - Vendita case Piemonte - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/?q=pianezza,PAGINA_CATEGORIA
34a652fd73504a581aed,Pianezza,Case indipendenti e ville a schiera in vendita Pianezza - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/ville-singole-e-a-schiera/torino/pianezza/,EVIDENZA_INSUFFICIENTE
812d44942fb61458cf21,Reano,Case e appartamenti a Reano. Immobili in vendita a Reano - Nestoria,Nestoria,https://www.nestoria.it/immobiliare/vendita/reano,EVIDENZA_INSUFFICIENTE
f073bf97e2a0894b0f8a,Reano,Case in vendita Reano - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/reano/,PAGINA_CATEGORIA
180fd3b192de1a3ccffe,Reano,64 Rustici in vendita a Reano - Mitula Case,Capannoni logistica,https://immobiliare.mitula.it/rustico-reano,EVIDENZA_INSUFFICIENTE
75bea38c2e641daa5e3e,Rivoli,57 immobili villa collina in vendita a Rivoli - Trovit,Trovit,https://case.trovit.it/villa-collina-rivoli,EVIDENZA_INSUFFICIENTE
033e4c5815c3ce197d27,Rivoli,Immobili in vendita a Rivoli | Gabetti,Mercato generale,https://www.gabetti.it/vendita/rivoli,PAGINA_CATEGORIA
19e4d46c5e7c11ee620c,Rivoli,Case e appartamenti a Rivoli Torino. Immobili in vendita a Rivoli ...,Nestoria,https://www.nestoria.it/immobiliare/vendita/rivoli,EVIDENZA_INSUFFICIENTE
6fdcf9be95ed00e1f4ff,Rubiana,128 immobili in vendita a Rubiana - Trovit,Trovit,https://case.trovit.it/rubiana,EVIDENZA_INSUFFICIENTE
bc143baaf07add9ead26,Rubiana,Case in vendita Rubiana - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/rubiana/,PAGINA_CATEGORIA
b74a134d730b31fa0bc7,Rubiana,Case in vendita Rubiana Caprino veronese (Verona) da agenzie immobiliari,Mercato generale,https://www.caseinvendita360.com/case-vendita-agenzie-rubiana-caprino-veronese-vr,PAGINA_CATEGORIA
78a40ead67d790da4b21,San Giorio,Case in vendita San Giorio di Susa - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/san-giorio-di-susa/,PAGINA_CATEGORIA
f6ed4722bcf102d0b386,Sangano,60 immobili villa in vendita a Sangano - Trovit,Trovit,https://case.trovit.it/villa-sangano,EVIDENZA_INSUFFICIENTE
50c18056a4760e9cba2b,Sangano,Case in vendita Sangano - Immobili - Subito.it,Subito privati,https://www.subito.it/annunci-piemonte/vendita/immobili/torino/sangano/,PAGINA_CATEGORIA
744d2e5b3957380bdd05,Sangano,Pragma Case,Mercato residenziale,https://pragmacase.it/,EVIDENZA_INSUFFICIENTE
2e12fd31e6f76c8469cd,Sant'Antonino di Susa,"Case in vendita a Sant'Antonino di Susa, Valli Susa, Sangone",Mercato generale,https://caseinvenditainaffitto.it/case-in-vendita/sant-antonino-di-susa-valli-susa-sangone,PAGINA_CATEGORIA
3444bb3f22989d4a87cb,Sant'Antonino di Susa,42 immobili in vendita a Sant'Antonino di Susa - Trovit,Trovit,https://case.trovit.it/sant-antonino-susa,EVIDENZA_INSUFFICIENTE
93c25228125292ec5155,Sant'Antonino di Susa,Sant'antonino Di Susa - 48 case in vendita in Sant'Antonino Di Susa de ...,Mercato residenziale,https://www.nuroa.it/vendita-immobili/sant-antonino-di-susa,EVIDENZA_INSUFFICIENTE
9d980b4eaccd23c79a1b,Susa,72 immobili in vendita a Susa - Trovit,Trovit,https://case.trovit.it/susa,EVIDENZA_INSUFFICIENTE
8217649129383c1f5fe9,Susa,106 Appartamenti in vendita a Susa - Mitula Case,Mercato generale,https://immobiliare.mitula.it/appartamento-susa,EVIDENZA_INSUFFICIENTE
925e143232e86a0615ba,Susa,Casa Val Susa - 16 case in vendita in Susa de Nuroa.it,Mercato residenziale,https://www.nuroa.it/vendita-immobili/casa-val-susa,EVIDENZA_INSUFFICIENTE
7b797b2a5923d775c2bb,Trana,Case e appartamenti a Trana. Immobili in vendita a Trana - Nestoria,Nestoria,https://www.nestoria.it/immobiliare/vendita/trana,EVIDENZA_INSUFFICIENTE
09a6daabc96537c3d798,Trana,"Case in vendita a Moranda, Trana - Case in Vendita e in Affitto",Mercato generale,https://caseinvenditainaffitto.it/case-in-vendita/moranda-trana,PAGINA_CATEGORIA
021b9fd9d5d81cfe9731,Trana,Case in vendita a Trana - Wikicasa,Wikicasa,https://www.wikicasa.it/vendita-case/trana/,PAGINA_CATEGORIA
