AGENZIA,COMUNI,STOCK_ATTIVO,NUOVI_30G,USCITE_OSSERVATE_30G,VENDUTI_CONFERMATI,RIBASSI_30G,PERMANENZA_MEDIANA_GG,GIORNI_MEDI_PRIMO_RIBASSO,RIBASSO_MEDIO_PCT,TURNOVER_OSSERVATO_30G_PCT,SCORE_OPERATIVO,NOTA
Avigliana - Immobiliare,Avigliana,0,5,5,0,1,1.0,3.0,61.67,500.0,100,Uscita osservata != vendita certa
La TEMPOCASA,Beinasco,0,3,3,0,0,0.0,,,300.0,100,Uscita osservata != vendita certa
"immobiliare/""","Alpignano, Bardonecchia, Beinasco",0,3,3,0,0,4.0,,,300.0,100,Uscita osservata != vendita certa
Agenzia Immobiliare,Bardonecchia,0,2,2,0,0,4.5,,,200.0,100,Uscita osservata != vendita certa
la F.C. Immobiliare,Borgone Susa,0,2,2,0,0,3.5,,,200.0,100,Uscita osservata != vendita certa
la Grimaldi Immobiliare,"Almese, Beinasco",0,1,2,0,0,11.5,,,200.0,100,Uscita osservata != vendita certa
CASEINPIEMONTE -Agenzia immobiliare di Rivoli e Alpignano,Buttigliera Alta,0,1,1,0,1,11.0,6.0,20.36,100.0,63.0,Uscita osservata != vendita certa
Casa indipendente in vendita a Bruzolo TO. La F.C. Immobiliare,Bruzolo,0,1,1,0,1,12.0,5.0,84.56,100.0,63.0,Uscita osservata != vendita certa
AD AVIGLIANA AVIGLIANA - Nel centro del paese di Avigliana l'agenzia immobiliare,Avigliana,0,1,1,0,0,7.0,,,100.0,61.0,Uscita osservata != vendita certa
Almese - idealista RUSTICO CON VISTA PANORAMICALa FC Immobiliare,Almese,0,1,1,0,0,13.0,,,100.0,61.0,Uscita osservata != vendita certa
Almese. Buono ... Gabetti Rivoli,Almese,0,1,1,0,0,4.0,,,100.0,61.0,Uscita osservata != vendita certa
Alp.375 - TEMPOCASA ALPIGNANO,Alpignano,0,1,1,0,0,19.0,,,100.0,61.0,Uscita osservata != vendita certa
Alpignano - Immobiliare,Alpignano,1,2,1,0,0,2.0,,,100.0,61.0,Uscita osservata != vendita certa
Avigliana La GNM IMMOBILIARE,Avigliana,0,1,1,0,0,0.0,,,100.0,61.0,Uscita osservata != vendita certa
Avigliana. Quadrilocale in via Don Luigi Balbiano ... Brickhome,Avigliana,0,1,1,0,0,0.0,,,100.0,61.0,Uscita osservata != vendita certa
Avigliana. Quadrilocale in via Drubiaglio 8 ... L'appartamento,Avigliana,0,1,1,0,0,3.0,,,100.0,61.0,Uscita osservata != vendita certa
Bardonecchia - Immobiliare,Bardonecchia,0,1,1,0,0,0.0,,,100.0,61.0,Uscita osservata != vendita certa
Bilocale in piazza Kennedy. Buono stato ... Il gruppo Compro Casa,Beinasco,0,1,1,0,0,0.0,,,100.0,61.0,Uscita osservata != vendita certa
CC010 - In zona residenziale la TEMPOCASA DI CONDOVE,Caprie,0,1,1,0,0,3.0,,,100.0,61.0,Uscita osservata != vendita certa
